Place	Team	Doubles Scratch	Doubles HCP	Trios Scratch	Trios HCP	Team Scratch	Team HCP	Singles Scratch	Singles HCP	Masters Scratch	Masters HCP	Total Scratch	Total HCP
1	J.O.K.E'S On You	2245	2668	1637	1991	2254	2677	1696	2050	1276	1414	9108	10800
2	Sponsored Toms Glass Back	2284	2530	1611	1830	2576	2822	1748	1967	1372	1426	9591	10575
3	Degeneration	2205	2592	1547	1880	2308	2695	1669	2002	1153	1261	8882	10430
4	Tori'S Terrors	2353	2653	1637	1889	2338	2638	1588	1840	1253	1349	9169	10369
5	Golden Oldies	2260	2629	1642	1912	2203	2572	1601	1871	1180	1378	8886	10362
6	Whoop Whoop	2369	2585	1799	1961	2404	2620	1814	1976	1109	1217	9495	10359
7	Bipolar Rollers	2118	2595	1438	1843	2152	2629	1406	1811	1203	1347	8317	10225
8	Big Bear Bolts	2448	2661	1866	1983	2206	2419	1809	1926	1031	1223	9360	10212
9	Mcwillys Army	2192	2495	1738	1909	2235	2538	1764	1935	1066	1330	8995	10207
10	Toby'S Minions	2136	2511	1555	1888	2171	2546	1604	1937	1196	1280	8662	10162
11	Take It Teezy	1918	2560	1310	1805	1822	2464	1451	1946	1083	1377	7584	10152
12	3 Sandys & A Mackem	1961	2552	1574	2024	1894	2485	1434	1884	912	1194	7775	10139
13	Troopers	2216	2618	1554	1893	2116	2518	1571	1910	1026	1152	8483	10091
14	The Pin Pricks	2405	2669	1561	1777	2241	2505	1606	1822	1094	1190	8907	9963
15	4Kh	2228	2534	1526	1778	2129	2435	1695	1947	1089	1197	8667	9891
16	Old Men Rising	1995	2523	1300	1735	1800	2328	1453	1888	1137	1323	7685	9797
17	Irritable Bowl Syndrome	2190	2439	1703	1934	2077	2326	1595	1826	1219	1255	8784	9780
18	Wilson'S Anchors	2219	2411	1694	1868	2207	2399	1631	1805	1208	1244	8959	9727
19	Yorkshire Ladies White	2048	2549	1302	1731	1920	2421	1346	1775	962	1106	7578	9582
20	Huddersfield Hornets	1430	2354	1017	1794	1455	2379	977	1754	1003	1297	5882	9578
21	Yorkshire Ladies Blue	1956	2379	1507	1837	1905	2328	1482	1812	1014	1200	7864	9556
22	Hull Vikings	1727	2210	1457	1739	1976	2459	1564	1846	801	1203	7525	9457
